issue,dest_key,dest_heading,dest_story,present_kind,present_source_id,present_source_content,present_source_story,present_source_style
missing_underlined_word,5128,4.2.11 x?y comparison menu,u7b37,margin_number,u400b5,4.2.11,u3ea8c,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5129,4.2.12 x?0 comparison menu,u7b37,margin_number,u4026c,4.2.12,u40248,CharacterStyle/code_styles%3across_ref
missing_underlined_word,168,4.2.3 Linear regression menu,u7b37,margin_number,u3f98d,4.2.3,u3e2e3,CharacterStyle/code_styles%3across_ref
missing_underlined_word,169,4.2.4 Mean menu,u7b37,margin_number,u4006f,4.2.4,u3ea34,CharacterStyle/code_styles%3across_ref
missing_underlined_word,170,4.2.5 Deviation menu,u7b37,margin_number,u3fc38,4.2.5,u3e663,CharacterStyle/code_styles%3across_ref
missing_underlined_word,165,4.2.6 Summation menu,u7b37,margin_number,u3feb1,4.2.6,u3e84e,CharacterStyle/code_styles%3across_ref
missing_underlined_word,165,4.2.6 Summation menu,u7b37,margin_number,u3f9fb,4.2.6,u3e3b0,CharacterStyle/code_styles%3across_ref
missing_underlined_word,165,4.2.6 Summation menu,u7b37,margin_number,u3cf86,4.2.6,u3cf5a,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5109,5.1.1 Entering exponents of ten,u7b37,margin_number,u3f5a6,5.1.1,u3de79,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5117,6.1 Storing and recalling numbers,u7b37,margin_number,u3fe07,6.1,u3fdf3,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5117,6.1 Storing and recalling numbers,u7b37,margin_number,u3fb5e,6.1,u3e545,CharacterStyle/code_styles%3across_ref
missing_underlined_word,12,6.3 Reviewing variables in the VAR catalog,u7b37,margin_number,u9f3c,6.3,u9ede,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5127,6.6 Exchanging any variable with x,u7b37,margin_number,u40085,6.6,u3ea53,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5114,6.7 Variable i,u7b37,margin_number,u3f86b,6.7,u3e148,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5092,7.3 Exponential and logarithmic,u7b37,margin_number,u3f027,7.3,u3d990,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5092,7.3 Exponential and logarithmic,u7b37,margin_number,u3f97c,7.3,u3f968,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5092,7.3 Exponential and logarithmic,u7b37,margin_number,u3ecdc,7.3,u3d726,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5092,7.3 Exponential and logarithmic,u7b37,margin_number,u3f95f,7.3,u3e2a9,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5092,7.3 Exponential and logarithmic,u7b37,margin_number,u3f66d,7.3,u3df09,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5092,7.3 Exponential and logarithmic,u7b37,margin_number,u3f68d,7.3,u3f679,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5100,7.6 Hyperbolic,u7b37,margin_number,u3f81f,7.6,u3e0f2,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5100,7.6 Hyperbolic,u7b37,margin_number,u3efdc,7.6,u3d973,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5100,7.6 Hyperbolic,u7b37,margin_number,u3eff8,7.6,u3efe4,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5100,7.6 Hyperbolic,u7b37,margin_number,u3fd8f,7.6,u3e715,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5100,7.6 Hyperbolic,u7b37,margin_number,u3f4d3,7.6,u3f4bf,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5100,7.6 Hyperbolic,u7b37,margin_number,u3f016,7.6,u3f001,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5100,7.6 Hyperbolic,u7b37,margin_number,u3ff1d,7.6,u3ff09,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5093,7.7 Percentage,u7b37,margin_number,u3ecfb,7.7,u3d742,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5093,7.7 Percentage,u7b37,margin_number,u3ed1d,7.7,u3ed09,CharacterStyle/code_styles%3across_ref
